base survivors (KR common, -80%+): 98

 #     점수  티커      종목명                 하락률          종가
 1   69.6  206650  유바이오로직스             80%      11,220
 2   68.9  348950  제이알글로벌리츠            80%       1,182
 3   68.0  115450  HLB테라퓨틱스            80%       2,935
 4   67.5  950210  프레스티지바이오파마          80%       7,800
 5   64.4  053580  웹케시                 81%       8,170
 6   63.6  205500  넥써쓰                 81%       1,638
 7   63.1  298540  더네이쳐홀딩스             81%       7,110
 8   62.2  241590  화승엔터프라이즈            82%       3,965
 9   62.0  166480  코아스템켐온              82%       3,745
10   61.9  443670  에스피소프트              82%       4,770
11   60.4  038540  상상인                 82%       2,170
12   60.1  382840  원준                  82%       8,660
13   60.0  203400  에이비온                82%       2,135
14   60.0  389140  포바이포                82%       7,400
15   59.4  025620  차AI헬스케어             82%       7,540
16   58.2  360070  탑머티리얼               82%      15,730
17   58.1  131370  알서포트                82%       2,140
18   57.4  383310  에코프로에이치엔            83%      29,750
19   57.1  086890  이수앱지스               83%       3,875
20   56.9  005420  코스모화학               83%      15,290
